upc,product_name,brand_name,recall_date,reason
041190468935,Organic Almond Butter,Nature's Path,2024-01-15,Salmonella contamination
070038640196,Peanut Butter Cups,Reese's,2024-01-20,Undeclared tree nuts
011110421234,Frozen Spinach,Green Giant,2024-02-01,Listeria monocytogenes
041303001234,Greek Yogurt Strawberry,Chobani,2024-02-05,Mold contamination
052100031234,Chocolate Chip Cookies,Chips Ahoy,2024-02-10,Metal fragments
688267141232,Organic Baby Food Carrots,Plum Organics,2024-02-12,Lead contamination
012000161230,Corn Flakes Cereal,Kellogg's,2024-02-15,Undeclared wheat
041755001234,Vanilla Ice Cream,Ben & Jerry's,2024-02-18,Listeria contamination
078742001234,Frozen Pizza Pepperoni,DiGiorno,2024-02-20,E. coli contamination
037600001234,Chicken Broth,Swanson,2024-02-22,Glass fragments
011110861234,Mixed Vegetables Frozen,Birds Eye,2024-02-25,Salmonella risk
041497001234,Orange Juice Pulp Free,Tropicana,2024-03-01,Mold presence
025000001234,Macaroni & Cheese,Kraft,2024-03-05,Undeclared milk
041130001234,Granola Bars Chocolate,Nature Valley,2024-03-08,Metal shavings
041220001234,Tomato Sauce,Prego,2024-03-10,Glass contamination
011150001234,Canned Corn,Del Monte,2024-03-12,Botulism risk
688267001234,Fruit Pouches Mixed Berry,Plum Organics,2024-03-15,Choking hazard
070330001234,Grape Jelly,Welch's,2024-03-18,Mold contamination
021000001234,BBQ Sauce Original,Sweet Baby Ray's,2024-03-20,Undeclared soy
041303091234,Greek Yogurt Vanilla,Chobani,2024-03-22,Plastic pieces
052100081234,Oreo Cookies,Nabisco,2024-03-25,Undeclared peanuts
070177001234,Salsa Medium,Tostitos,2024-03-28,Listeria risk
041190001234,Maple Syrup,Nature's Path,2024-04-01,Glass fragments
012000101234,Frosted Flakes,Kellogg's,2024-04-03,Salmonella contamination
041755021234,Chunky Monkey Ice Cream,Ben & Jerry's,2024-04-05,Metal contamination
078742051234,Frozen Pizza Supreme,DiGiorno,2024-04-08,Foreign material
037600111234,Vegetable Broth,Swanson,2024-04-10,Undeclared celery
011110981234,Green Beans Frozen,Birds Eye,2024-04-12,Listeria presence
041497091234,Apple Juice,Tropicana,2024-04-15,Arsenic levels
025000051234,Velveeta Shells & Cheese,Kraft,2024-04-18,Plastic contamination
041130061234,Protein Bars Peanut Butter,Nature Valley,2024-04-20,Undeclared tree nuts
041220081234,Alfredo Sauce,Prego,2024-04-22,Allergen mislabeling
011150081234,Canned Green Beans,Del Monte,2024-04-25,Metal fragments
688267121234,Organic Applesauce,Plum Organics,2024-04-28,Mold growth
070330081234,Strawberry Preserves,Welch's,2024-05-01,Glass particles
021000081234,Honey BBQ Sauce,Sweet Baby Ray's,2024-05-03,Undeclared mustard
041303111234,Greek Yogurt Blueberry,Chobani,2024-05-05,E. coli risk
052100121234,Wheat Thins Crackers,Nabisco,2024-05-08,Salmonella contamination
070177081234,Queso Dip,Tostitos,2024-05-10,Listeria monocytogenes
041190121234,Peanut Butter Crunchy,Nature's Path,2024-05-12,Metal pieces
012000201234,Rice Krispies,Kellogg's,2024-05-15,Undeclared milk
041755101234,Half Baked Ice Cream,Ben & Jerry's,2024-05-18,Plastic fragments
078742101234,Frozen Pizza Four Cheese,DiGiorno,2024-05-20,Foreign object
037600201234,Beef Broth,Swanson,2024-05-22,Undeclared soy
011111001234,Peas & Carrots Frozen,Birds Eye,2024-05-25,Listeria contamination
041497201234,Grapefruit Juice,Tropicana,2024-05-28,Chemical contamination
025000101234,Easy Mac Microwave,Kraft,2024-06-01,Undeclared wheat
041130101234,Chewy Granola Bars,Nature Valley,2024-06-03,Allergen cross-contact
041220101234,Marinara Sauce,Prego,2024-06-05,Glass shards
011150101234,Canned Peas,Del Monte,2024-06-08,Metal contamination
